10/08/2018,Man United,Leicester,2,1,H,A Marrine
11/08/2018,Bournemouth,Cardiff,2,0,H,K Friend
11/08/2018,Fulham,Crystal Palace,0,2,A,M Dean
11/08/2018,Huddersfield,Chelsea,0,3,A,C Kavanag
11/08/2018,Newcastle,Tottenham,1,2,A,M Atkinsor
11/08/2018,Watford,Brighton,2,0,H,J Moss
11/08/2018,Wolves,Everton,2,2,D,C Pawson
12/08/2018,Arsenal,Man City,0,2,A,M Oliver
12/08/2018,Liverpool,West Ham,4,0,H,A Taylor
12/08/2018,Southampton,Burnley,0,0,D,G Scott
18/08/2018,Cardiff,Newcastle,0,0,D,C Pawson
18/08/2018,Chelsea,Arsenal,3,2,H,M Atkinson